ChallengeLevel	Scalar
1	1
2	1.08
3	1.1664
4	1.259712
5	1.36048896
6	1.469328077
7	1.586874323
8	1.713824269
9	1.85093021
10	1.999004627
11	2.158924997
12	2.331638997
13	2.518170117
14	2.719623726
15	2.937193624
16	3.172169114
17	3.425942643
18	3.700018055
19	3.996019499
20	4.315701059
21	4.660957144
22	5.033833715
23	5.436540413
24	5.871463646
25	6.341180737
26	6.848475196
27	7.396353212
28	7.988061469
29	8.627106386
30	9.317274897
31	10.06265689
32	10.86766944
33	11.737083
34	12.67604964
35	13.69013361
36	14.78534429
37	15.96817184
38	17.24562558
39	18.62527563
40	20.11529768
41	21.7245215
42	23.46248322
43	25.33948187
44	27.36664042
45	29.55597166
46	31.92044939
47	34.47408534
48	37.23201217
49	40.21057314
50	43.42741899
