Level	XP
1	100
2	300
3	325
4	350
5	375
6	400
7	425
8	450
9	525
10	625
11	750
12	875
13	1000
14	6840
15	8830
16	11280
17	14400
18	18620
19	24000
20	30600
21	39520
22	50880
23	64800
24	82500
25	105280
26	138650
27	182780
28	240870
29	315520
30	417560
31	546000
32	718200
33	946660
34	1245840
35	1635200
36	1915000
37	2010000
38	2110000
39	2215000
40	2325000
41	2440000
42	2560000
43	2690000
44	2825000
45	2965000
46	3115000
47	3270000
48	3435000
49	3605000
50	3785000
51	3975000
52	4175000
53	4385000
54	4605000
55	4835000
56	5075000
57	6000000
58	6000000
59	6000000
60	6000000
61	6000000
62	6000000
63	6000000
64	6000000
65	6000000
66	6000000
67	6000000
68	6000000
69	6000000
70	6000000
71	6000000
72	6000000
73	6000000
74	6000000
75	6000000
76	6000000
77	6000000
78	6000000
79	6000000
80	6000000
81	6000000
82	6000000
83	6000000
84	6000000
85	6000000
86	6000000
87	6000000
88	6000000
89	6000000
90	6000000
91	6000000
92	6000000
93	6000000
94	6000000
95	6000000
96	6000000
97	6000000
98	6000000
99	6000000
100	6000000
101	6000000
102	6000000
103	6000000
104	6000000
105	6000000
106	6000000
107	6000000
108	6000000
109	6000000
110	6000000
111	6000000
112	6000000
113	6000000
114	6000000
115	6000000
116	6000000
117	6000000
118	6000000
119	6000000
120	6000000
121	6000000
122	6000000
123	6000000
